740.742	874.192	1040.26	1249.26	1515.59	1859.71	2311.32	2914.52	3736.44	4882.42	6523.27	8946.89	12660.3	18599.1	28352.9	18599.1	12660.3	8946.89	6523.27	4882.42	3736.44	2914.52	2311.32	1859.71	1515.59	1249.26	1040.26	874.192	740.742	
809.939	955.855	1137.44	1365.96	1657.17	2033.44	2527.24	3186.78	4085.48	5338.51	7132.64	9782.66	13843	20336.6	31001.7	20336.6	13843	9782.66	7132.64	5338.51	4085.48	3186.78	2527.24	2033.44	1657.17	1365.96	1137.44	955.855	809.939	
884.703	1044.09	1242.43	1492.06	1810.14	2221.14	2760.52	3480.94	4462.61	5831.31	7791.05	10685.7	15120.8	22213.8	33863.6	22213.8	15120.8	10685.7	7791.05	5831.31	4462.61	3480.94	2760.52	2221.14	1810.14	1492.06	1242.43	1044.09	884.703	
965.42	1139.35	1355.79	1628.18	1975.29	2423.79	3012.38	3798.53	4869.76	6363.33	8501.87	11660.6	16500.4	24240.5	36953.4	24240.5	16500.4	11660.6	8501.87	6363.33	4869.76	3798.53	3012.38	2423.79	1975.29	1628.18	1355.79	1139.35	965.42	
1052.49	1242.11	1478.07	1775.03	2153.45	2642.4	3284.07	4141.13	5308.97	6937.26	9268.68	12712.3	17988.6	26426.9	40286.5	26426.9	17988.6	12712.3	9268.68	6937.26	5308.97	4141.13	3284.07	2642.4	2153.45	1775.03	1478.07	1242.11	1052.49	
1146.35	1352.88	1609.88	1933.33	2345.49	2878.04	3576.94	4510.43	5782.42	7555.91	10095.2	13846	19592.8	28783.6	43879.3	28783.6	19592.8	13846	10095.2	7555.91	5782.42	4510.43	3576.94	2878.04	2345.49	1933.33	1609.88	1352.88	1146.35	
1247.45	1472.19	1751.86	2103.83	2552.34	3131.86	3892.4	4908.21	6292.38	8222.28	10985.6	15067.1	21320.7	31322	47749.3	31322	21320.7	15067.1	10985.6	8222.28	6292.38	4908.21	3892.4	3131.86	2552.34	2103.83	1751.86	1472.19	1247.45	
1356.27	1600.61	1904.68	2287.35	2774.99	3405.06	4231.94	5336.36	6841.28	8939.52	11943.9	16381.4	23180.5	34054.3	51914.8	34054.3	23180.5	16381.4	11943.9	8939.52	6841.28	5336.36	4231.94	3405.06	2774.99	2287.35	1904.68	1600.61	1356.27	
0	1746.62	2078.43	2496.01	3028.13	3715.68	4617.99	5823.16	7465.36	9755.02	13033.4	17875.8	25295.1	37160.9	56650.9	37160.9	25295.1	17875.8	13033.4	9755.02	7465.36	5823.16	4617.99	3715.68	3028.13	2496.01	2078.43	1746.62	1479.99	
0	1895.76	2255.9	2709.13	3286.69	4032.94	5012.3	6320.37	8102.79	10587.9	14146.3	19402.1	27454.9	40333.8	61488.2	40333.8	27454.9	19402.1	14146.3	10587.9	8102.79	6320.37	5012.3	4032.94	3286.69	2709.13	2255.9	1895.76	1606.36	
0	2055.94	2446.51	2938.05	3564.4	4373.71	5435.82	6854.42	8787.44	11482.6	15341.6	21041.5	29774.8	43741.9	66684	43741.9	29774.8	21041.5	15341.6	11482.6	8787.44	6854.42	5435.82	4373.71	3564.4	2938.05	2446.51	2055.94	1742.09	
0	2227.88	2651.11	3183.75	3862.48	4739.47	5890.41	7427.65	9522.32	12442.9	16624.6	22801.1	32264.8	47400	72260.9	47400	32264.8	22801.1	16624.6	12442.9	9522.32	7427.65	5890.41	4739.47	3862.48	3183.75	2651.11	2227.88	1887.78	
0	2412.31	2870.57	3447.31	4182.23	5131.82	6378.03	8042.52	10310.6	13472.9	18000.8	24688.7	34935.7	51323.8	78243	51323.8	34935.7	24688.7	18000.8	13472.9	10310.6	8042.52	6378.03	5131.82	4182.23	3447.31	2870.57	2412.31	2044.06	
0	2610.01	3105.83	3729.83	4524.98	5552.4	6900.74	8701.65	11155.6	14577.1	19476	26712	37798.9	55530.1	84655.7	55530.1	37798.9	26712	19476	14577.1	11155.6	8701.65	6900.74	5552.4	4524.98	3729.83	3105.83	2610.01	2211.58	
0	2821.8	3357.86	4032.5	4892.17	6002.96	7460.71	9407.76	12060.8	15760	21056.5	28879.6	40866.2	60036.2	91525.6	60036.2	40866.2	28879.6	21056.5	15760	12060.8	9407.76	7460.71	6002.96	4892.17	4032.5	3357.86	2821.8	2391.04	
0	3048.55	3627.69	4356.54	5285.29	6485.34	8060.24	10163.7	13030	17026.4	22748.5	31200.3	44150.1	64860.5	98880.6	64860.5	44150.1	31200.3	22748.5	17026.4	13030	10163.7	8060.24	6485.34	5285.29	4356.54	3627.69	3048.55	2583.18	
